,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1986941,1391356,119347,prior,4,6,11,5.0
3367047,3406667,202941,prior,16,1,15,28.0
2766106,62266,166742,prior,5,4,17,27.0
2445049,21529,147143,prior,17,5,18,4.0
1858251,1345568,111549,prior,9,0,9,7.0
3236257,2364436,195066,prior,23,5,16,8.0
1101900,2003131,66358,prior,16,3,19,8.0
2965766,2002081,178979,prior,4,2,15,4.0
738887,992300,44487,prior,1,1,16,
1821945,311787,109406,prior,10,3,22,22.0
943419,1000741,56603,prior,1,6,15,
2953465,1651683,178215,prior,2,3,12,18.0
405489,2950770,24395,prior,10,6,9,7.0
1336674,362273,80284,prior,10,6,9,18.0
718437,177382,43265,prior,53,6,7,4.0
3323509,1868976,200309,prior,17,2,13,6.0
1457567,1319519,87578,prior,20,2,15,14.0
367982,2444050,22223,train,17,5,14,5.0
48015,1999705,2964,prior,53,1,20,1.0
943166,2457564,56584,prior,48,6,22,7.0
621957,1705949,37495,prior,38,2,16,5.0
3361043,526736,202593,prior,4,4,15,3.0
2486451,2893299,149656,prior,1,2,15,
2391662,1724276,143930,prior,13,2,8,13.0
2367485,1902955,142504,prior,10,0,7,7.0
2138716,2854402,128634,prior,10,1,19,3.0
1238300,1578556,74446,prior,1,1,15,
888081,2697008,53375,prior,13,4,11,12.0
943410,2586978,56602,prior,1,5,16,
1096264,1223002,66056,prior,24,4,2,3.0
204714,1902246,12381,prior,8,5,0,19.0
3209736,1683902,193520,prior,26,0,23,1.0
1795819,3323404,107855,prior,2,4,12,27.0
1312004,2026306,78865,prior,6,1,1,5.0
2676032,2878465,161106,prior,21,3,11,4.0
1325984,1310913,79663,prior,19,0,12,0.0
2885835,314,174117,prior,4,5,8,12.0
3117474,510065,187983,prior,6,1,0,16.0
1053390,2270337,63409,prior,27,2,14,15.0
11759,1539705,729,prior,29,2,11,8.0
2045423,707691,122901,prior,8,3,18,10.0
1394993,275112,83851,prior,23,5,18,9.0
2052761,3298118,123355,prior,18,6,14,13.0
2392733,2212182,143991,prior,18,0,9,5.0
930851,1817259,55825,prior,16,1,8,9.0
815711,2245829,49088,prior,34,0,14,6.0
109601,2040793,6633,prior,3,0,16,11.0
864317,3104509,51939,prior,14,5,10,24.0
2652313,2258011,159659,prior,1,4,11,
835015,986620,50166,prior,9,2,10,27.0
2961129,1126052,178719,prior,11,0,11,15.0
2142266,1679123,128843,prior,16,4,18,12.0
2203516,916395,132694,prior,4,2,18,11.0
3328962,2205198,200651,prior,2,6,11,30.0
1264652,365804,76048,prior,4,4,10,30.0
2973492,1080858,179460,prior,7,0,12,12.0
2492464,1607723,150036,prior,7,4,8,3.0
2982162,2063881,179938,prior,4,2,16,6.0
2353949,373591,141704,prior,14,1,17,6.0
286756,2404701,17339,prior,18,4,9,7.0
945536,3240122,56727,test,14,2,8,13.0
1762316,2864363,105793,prior,6,0,17,15.0
316318,188463,19143,prior,6,1,18,30.0
2756418,1226305,166128,prior,5,4,17,7.0
2593225,2241219,156116,prior,68,1,6,3.0
629839,2342335,37944,prior,29,3,14,16.0
1319912,3116302,79318,prior,1,1,16,
332675,2138237,20131,prior,4,1,16,21.0
2909530,1418061,175549,prior,1,6,12,
2613894,2650572,157363,prior,54,5,2,3.0
2635978,2576382,158691,prior,3,4,18,28.0
235878,1646888,14315,prior,8,3,11,6.0
1331844,2890251,80017,prior,4,1,15,10.0
2355458,2052080,141793,prior,3,1,11,7.0
2832807,672473,170920,test,50,1,17,18.0
2586206,926832,155676,prior,22,1,12,4.0
1557005,28961,93522,prior,3,1,11,18.0
1325569,2523037,79634,prior,2,0,7,10.0
1352500,644017,81293,prior,2,0,17,21.0
1835381,2916672,110197,prior,37,2,10,1.0
1999228,2620135,120147,prior,44,2,9,4.0
56406,252464,3499,prior,18,1,18,7.0
2386821,1925835,143635,prior,19,3,17,7.0
244634,1618484,14798,prior,31,4,11,2.0
1338683,1747798,80408,prior,1,0,18,
2291276,2851555,138032,prior,8,0,16,12.0
1824769,1533421,109582,prior,15,1,13,5.0
2271563,1483005,136782,prior,12,1,9,3.0
3300678,472620,198912,prior,16,1,9,8.0
1469330,1610758,88303,prior,12,3,12,4.0
1489274,2678877,89513,prior,13,1,23,6.0
253916,3356975,15389,prior,6,1,14,30.0
987248,1212952,59351,prior,28,2,12,1.0
1631692,519565,97954,prior,53,3,12,7.0
767751,2001107,46155,prior,13,5,15,19.0
266925,3082874,16170,prior,11,6,17,13.0
2047755,1051516,123053,prior,13,6,16,2.0
1952439,125459,117222,prior,52,1,10,7.0
635501,3406045,38304,prior,2,5,7,29.0
3227280,1062608,194559,prior,6,5,16,9.0
1102898,1138543,66411,prior,94,4,17,3.0
1685885,1245790,101186,prior,13,2,18,9.0
1571660,2182186,94410,prior,20,4,19,30.0
